InBits,WeightBits,DSPCount,Model,A,B,C,D,R2
7,-1,5,LC,1.39729518225536,5.88152103599081,445.905459181819,731.321241323335,0.997571830436966
7,-1,6,LC,-3.35128946734152,16.3123945529043,628.428018799711,582.402819956616,0.996538010171191
7,-1,7,LC,-6.10439560439564,42.0439560439562,659.564102564103,624.948717948716,0.999083859757143
7,-1,8,LC,0.398401333856404,6.79747940368775,727.147665751275,910.000078462142,0.988682146387871
8,-1,1,LC,0.441963127538438,5.41776095462583,160.264337321396,190.449858783015,0.999541176231497
8,-1,2,LC,0.657359265275499,5.41375311617946,223.856294410964,311.424230124364,0.997709127467194
8,-1,3,LC,-0.636916411685799,10.8661435944054,296.641445736082,377.986768536275,0.997422240761792
8,-1,4,LC,1.52700970393801,1.4604699278549,345.006918531547,561.678933249332,0.998724477626871
8,-1,5,LC,0.462045883420794,7.60014239964922,425.174967166124,570.179685819249,0.998747332918322
8,-1,6,LC,-0.896198830409415,12.5804093567254,520.631578947369,578.157894736839,0.996711320808385
8,-1,7,LC,1.80414746543784,-1.94930875576056,504.435483870967,1051.25806451613,0.999851960250799
8,-1,8,LC,0.67525337837837,3.70312500000002,622.290540540541,935.618243243243,0.999363776707792
