TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,16,7,2,0,1317,55
1,16,8,2,0,1494,55
1,16,9,2,0,1682,55
1,16,10,2,0,1857,55
1,16,11,2,0,2041,55
1,16,12,2,0,2216,55
1,16,13,2,0,2411,55
1,16,14,2,0,2586,55
1,16,15,2,0,2775,55
1,16,16,2,0,2951,55
1,16,17,2,0,3139,55
1,16,18,2,0,3313,55
1,16,19,2,0,3497,55
1,16,20,2,0,3672,55
1,16,21,2,0,3857,55
1,16,22,2,0,4033,55
1,16,23,2,0,4216,55
1,16,24,2,0,4392,55
1,16,25,2,0,4595,55
1,16,26,2,0,4769,55
1,16,27,2,0,4954,55
1,16,28,2,0,5129,55
1,16,29,2,0,5321,55
1,17,1,2,0,229,58
1,17,2,2,0,427,58
1,17,3,2,0,626,58
1,17,4,2,0,815,58
1,17,5,2,0,1015,58
1,17,6,2,0,1201,58
1,17,7,2,0,1403,58
1,17,8,2,0,1592,58
1,17,9,2,0,1792,58
1,17,10,2,0,1979,58
1,17,11,2,0,2174,58
1,17,12,2,0,2361,58
1,17,13,2,0,2569,58
1,17,14,2,0,2756,58
1,17,15,2,0,2956,58
1,17,16,2,0,3144,58
1,17,17,2,0,3344,58
1,17,18,2,0,3530,58
1,17,19,2,0,3727,58
1,17,20,2,0,3914,58
1,17,21,2,0,4110,58
1,17,22,2,0,4298,58
1,17,23,2,0,4494,58
1,17,24,2,0,4682,58
1,17,25,2,0,4896,58
1,17,26,2,0,5082,58
1,17,27,2,0,5279,58
1,17,28,2,0,5466,58
1,18,1,2,0,233,61
1,18,2,2,0,433,61
1,18,3,2,0,634,61
1,18,4,2,0,825,61
1,18,5,2,0,1027,61
1,18,6,2,0,1215,61
1,18,7,2,0,1419,61
1,18,8,2,0,1610,61
1,18,9,2,0,1812,61
1,18,10,2,0,2001,61
1,18,11,2,0,2199,61
1,18,12,2,0,2388,61
1,18,13,2,0,2596,61
1,18,14,2,0,2785,61
1,18,15,2,0,2989,61
1,18,16,2,0,3179,61
1,18,17,2,0,3381,61
1,18,18,2,0,3569,61
1,18,19,2,0,3768,61
1,18,20,2,0,3957,61
1,18,21,2,0,4155,61
1,18,22,2,0,4345,61
1,18,23,2,0,4541,61
1,18,24,2,0,4731,61
1,18,25,2,0,4949,61
1,18,26,2,0,5137,61
1,18,27,2,0,5336,61
1,19,1,2,0,238,64
1,19,2,2,0,441,64
1,19,3,2,0,645,64
1,19,4,2,0,839,64
1,19,5,2,0,1044,64
1,19,6,2,0,1235,64
1,19,7,2,0,1442,64
1,19,8,2,0,1636,64
1,19,9,2,0,1841,64
1,19,10,2,0,2033,64
1,19,11,2,0,2233,64
1,19,12,2,0,2425,64
1,19,13,2,0,2637,64
1,19,14,2,0,2829,64
1,19,15,2,0,3036,64
1,19,16,2,0,3229,64
1,19,17,2,0,3434,64
1,19,18,2,0,3625,64
1,19,19,2,0,3827,64
1,19,20,2,0,4019,64
1,19,21,2,0,4219,64
1,19,22,2,0,4412,64
1,19,23,2,0,4612,64
1,19,24,2,0,4805,64
1,19,25,2,0,5025,64
1,19,26,2,0,5216,64
1,19,27,2,0,5418,64
1,20,1,2,0,264,67
1,20,2,2,0,491,67
1,20,3,2,0,719,67
1,20,4,2,0,937,67
1,20,5,2,0,1166,67
1,20,6,2,0,1381,67
1,20,7,2,0,1612,67
1,20,8,2,0,1830,67
