TermBits,InChannels,ClassCount,WeightBits,DSPCount,LC,FF,LC_dsp0
2,2,13,6,1,438,187,1303
2,2,19,6,0,1930,17,1930
2,2,19,6,1,594,245,1930
2,4,18,6,0,3782,27,3782
2,4,18,6,1,768,267,3782
2,4,18,6,2,991,288,3782
2,4,18,6,3,1227,316,3782
2,4,18,6,6,1860,380,3782
2,6,10,6,0,3160,37,3160
2,6,10,6,1,494,194,3160
2,6,10,6,2,616,215,3160
2,6,10,6,5,1036,286,3160
2,6,16,6,0,5033,37,5033
2,6,16,6,1,703,255,5033
2,6,16,6,2,896,276,5033
2,6,16,6,4,1243,326,5033
2,6,16,6,8,1934,412,5033
2,7,12,6,0,4410,42,4410
2,7,12,6,1,567,220,4410
2,7,12,6,2,744,241,4410
2,7,12,6,3,913,269,4410
2,7,12,6,4,1059,291,4410
2,7,12,6,6,1347,333,4410
2,8,6,6,0,2549,47,2549
2,8,6,6,1,304,168,2549
2,8,6,6,2,393,190,2549
2,8,6,6,3,505,218,2549
2,8,6,6,6,716,285,2549
2,12,1,6,0,663,67,663
2,12,1,6,1,159,126,663
2,21,5,6,0,5713,112,5713
2,21,5,6,1,409,231,5713
2,21,5,6,5,782,332,5713
2,23,5,6,0,6322,122,6322
2,23,5,6,1,422,241,6322
2,23,5,6,5,800,342,6322
2,31,4,6,0,6917,162,6917
2,31,4,6,1,395,266,6917
2,31,4,6,2,470,289,6917
2,31,4,6,4,612,343,6917
2,1,1,7,0,61,12,61
2,1,1,7,1,80,64,61
2,1,11,7,0,657,12,657
2,1,11,7,1,380,165,657
2,2,11,7,0,1280,17,1280
2,2,11,7,1,484,183,1280
2,4,8,7,0,1899,27,1899
2,4,8,7,1,341,170,1899
2,4,8,7,2,460,194,1899
2,4,8,7,4,628,248,1899
2,4,8,7,8,962,346,1899
2,10,5,7,0,3102,57,3102
2,10,5,7,1,347,176,3102
2,10,5,7,5,727,284,3102
2,10,7,7,0,4331,57,4331
2,10,7,7,1,447,201,4331
2,10,7,7,7,1103,360,4331
2,10,8,7,0,4947,57,4947
2,10,8,7,1,479,213,4947
2,10,8,7,2,603,238,4947
2,10,8,7,4,827,296,4947
2,10,8,7,8,1265,398,4947
2,12,5,7,0,3710,67,3710
2,12,5,7,1,354,186,3710
2,12,5,7,5,732,294,3710
2,14,7,7,0,6158,77,6158
2,14,7,7,1,471,221,6158
2,14,7,7,7,1122,380,6158
2,20,2,7,0,2508,107,2508
2,20,2,7,1,254,188,2508
2,20,2,7,2,299,214,2508
2,27,4,7,0,6770,142,6770
