InBits,InChannels,PoolMode,LUT4,FF
13,24,0,1685,1897
13,25,0,1752,1975
13,26,0,1821,2053
13,27,0,1889,2131
13,28,0,1957,2209
13,29,0,2025,2287
13,30,0,2093,2365
13,31,0,2161,2443
13,32,0,2229,2521
14,1,0,126,109
14,2,0,200,193
14,3,0,275,277
14,4,0,349,361
14,5,0,422,445
14,6,0,497,529
14,7,0,570,613
14,8,0,644,697
14,9,0,719,781
14,10,0,792,865
14,11,0,867,949
14,12,0,941,1033
14,13,0,1015,1117
14,14,0,1089,1201
14,15,0,1163,1285
14,16,0,1237,1369
14,17,0,1311,1453
14,18,0,1385,1537
14,19,0,1459,1621
14,20,0,1532,1705
14,21,0,1607,1789
14,22,0,1681,1873
14,23,0,1755,1957
14,24,0,1829,2041
14,25,0,1903,2125
14,26,0,1977,2209
14,27,0,2051,2293
14,28,0,2125,2377
14,29,0,2199,2461
14,30,0,2273,2545
14,31,0,2347,2629
14,32,0,2421,2713
15,1,0,131,115
15,2,0,209,205
15,3,0,286,295
15,4,0,365,385
15,5,0,443,475
15,6,0,521,565
15,7,0,599,655
15,8,0,676,745
15,9,0,755,835
15,10,0,833,925
15,11,0,910,1015
15,12,0,988,1105
15,13,0,1067,1195
15,14,0,1145,1285
15,15,0,1223,1375
15,16,0,1301,1465
15,17,0,1378,1555
15,18,0,1456,1645
15,19,0,1535,1735
15,20,0,1613,1825
15,21,0,1691,1915
15,22,0,1769,2005
15,23,0,1847,2095
15,24,0,1925,2185
15,25,0,2003,2275
15,26,0,2080,2365
15,27,0,2159,2455
15,28,0,2237,2545
15,29,0,2315,2635
15,30,0,2392,2725
15,31,0,2471,2815
15,32,0,2549,2905
16,1,0,136,121
16,2,0,218,217
16,3,0,301,313
16,4,0,385,409
16,5,0,468,505
16,6,0,550,601
16,7,0,634,697
16,8,0,716,793
16,9,0,800,889
16,10,0,883,985
16,11,0,966,1081
16,12,0,1049,1177
16,13,0,1131,1273
16,14,0,1215,1369
16,15,0,1297,1465
16,16,0,1380,1561
16,17,0,1464,1657
16,18,0,1546,1753
16,19,0,1629,1849
16,20,0,1713,1945
16,21,0,1796,2041
16,22,0,1879,2137
16,23,0,1961,2233
16,24,0,2044,2329
16,25,0,2128,2425
16,26,0,2210,2521
16,27,0,2294,2617
16,28,0,2377,2713
16,29,0,2460,2809
16,30,0,2543,2905
16,31,0,2626,3001
16,32,0,2709,3097
1,1,1,106,50
1,2,1,135,82
1,3,1,61,43
1,4,1,64,49
1,5,1,67,55
1,6,1,70,61
1,7,1,73,67
1,8,1,76,73
1,9,1,80,79
1,10,1,83,85
1,11,1,86,91
1,12,1,89,97
1,13,1,91,103
1,14,1,95,109
1,15,1,98,115
1,16,1,101,121
1,17,1,103,127
1,18,1,107,133
1,19,1,109,139
1,20,1,112,145
1,21,1,116,151
1,22,1,119,157
1,23,1,121,163
1,24,1,125,169
1,25,1,127,175
1,26,1,131,181
1,27,1,134,187
1,28,1,137,193
1,29,1,139,199
1,30,1,143,205
1,31,1,146,211
1,32,1,149,217
2,1,1,141,82
2,2,1,76,49
2,3,1,88,61
2,4,1,100,73
2,5,1,113,85
2,6,1,125,97
2,7,1,137,109
2,8,1,149,121
2,9,1,161,133
2,10,1,172,145
2,11,1,185,157
2,12,1,197,169
2,13,1,209,181
2,14,1,221,193
2,15,1,233,205
2,16,1,245,217
2,17,1,257,229
2,18,1,269,241
2,19,1,280,253
2,20,1,293,265
2,21,1,305,277
2,22,1,316,289
2,23,1,329,301
2,24,1,341,313
